Duygu,TweetMetni
4,"Hayır, Lebron en iyisi!"
4,"Lebron iyidir. Kişiliğini severim. İyi karakteri var."
4,"Lebron basketlerini izlemek. Lanet olası çok iyi!"
4,"LeBron bir canavar ve sadece 24 yaşında. Dünya hazır değil."
4,"NBA'de Lebron işi bitirdiğinde muhtemelen Kobe'den daha büyük olacak. Senin dediğin gibi Kobe iyi ama birçok 'iyi' oyuncu var."
4,"KOBE İYİ AMA BENİM OYUM LEBRON'DA."
0,"Kobe dünyadaki en iyisi, LeBron değil."
4,"2010 FIFA Dünya Kupası için Güney Afrika'da biletlerimi aldım. Harika bir yaz olacak."
0,"Booz Allen Hamilton'a 2 saatlik bir toplantıya gitmem gerekiyor.Ama sonra eve gidebilirim."
4,"Gerçekten büyük Hindistan gösterisi, Hint Genel Seçimleri'nin sonucu olan 16 Mayıs'tan sonra başlayacak."
4,"Kindle2'ye sahibim. DX'in resimlerini gördüm ama gerçekte görmedim. Kindle'ımı seviyorum, her gün kullanıyorum."
4,"Ooooh, hangi modeli alıyorsun??? Benim 40D'im var ve ÇOK ÇOK ÇOK ÇOK seviyorum!"
4,"Stanford Üniversitesi'nin Facebook profili en popüler resmi üniversite sayfalarından biri."
4,"Lyx harika biri."
4,"Sabah güneşin doğuşunu izlerken, içimdeki huzur ve mutluluk hiç bitmek bilmeyen bir enerji verdi."
4,"Yıllardır beklediğim bu anı sonunda yaşamak, bütün hayallerimi gerçeğe dönüştürme hissiyatıyla dolu dolu hissettim."
4,"Son haftalarda yaşadığım bu güzellik dolu anlar, bana gerçek mutluluğun aslında küçük şeylerde gizli olduğunu hatırlattı."
4,"Geçen hafta sonu doğa yürüyüşünde gördüğüm manzara, içimdeki coşkuyu ve minnet duygularını doruk noktasına çıkardı."
4,"Yeni tanıştığım dostlarla geçirdiğim keyifli akşam, samimiyetin ve paylaşımın asıl mutluluğu getirdiğini hissettirdi bana."
4,"Başarıyla tamamladığım projenin sonunda aldığım geri bildirimler, emeğimin boşa gitmediğini ve doğru yolda olduğumu gösterdi."
4,"Sahilde uzanıp gökyüzünü izlerken, sonsuzluğa uzanan bulutların huzur verici etkisiyle içimdeki sevinç ve dinginlik bir araya geldi."
4,"Yemekte tattığım yeni tarif, damak zevkime tamamen uyan bir lezzet olduğu için içimde bir neşe ve memnuniyet hissettirdi."
4,"Güneşin sıcak ışıkları arasında yürümek, doğanın canlılığını ve güzelliğini yaşamanın verdiği coşkuyla içimdeki mutluluğu artırdı."
4,"Yeni aldığım kitabı bitirdiğimde, karakterlerle yaşadığım macera ve duygusal bağım, beni farklı dünyalara taşıyarak büyük bir keyif verdi."
4,"Seni seviyorum Danny GOKEY!"
2,"GM OnStar artık kaza yerinin koordinatlarını anında 911'e gönderiyor."
0,"Çok yorgunum. Geçen gece hiç iyi uyuyamadım."
0,"San Francisco'ya gitmek üzere uçağa biniyorum; 1 saat sonra kalkacak; 6 saatlik uçuş. İğrenç."
0,"Merhaba San Francisco. Sırtım dün geceki nedeniyle ağrıyor."
2,"San Francisco'ya gidiyorum."
4,"En iyi arkadaşımla birkaç saat daha San Francisco'da. Aile harika!"
4,"Dün gece Star Trek filmini izlemeye gittim. Çok tatmin ediciydi."
4,"Sabırsızlanıyorum, bu akşam Star Trek'i izlemeye gidiyorum!!"
4,"Star Trek, herkesin dediği gibi çok iyiydi!!"
4,"Yeni Malcolm Gladwell kitabını seviyorum!"
4,"Malcolm Gladwell'ın 'Tipping Point' kitabını şiddetle tavsiye ederim. Bir sonraki sesli kitabım büyük olasılıkla ondan biri olacak."
0,"Malcolm Gladwell insanları aptal olduğunu fark etmeden kandırmada bir dahi."
0,"Özür dilerim ama Malcolm Gladwell iddialı, sinir bozucu ve sizi aşağı çeken biri ve onun işlerini okuyamam."
4,"Malcolm Gladwell'dan harika bir makale."
4,"Malcolm Gladwell'ı ciddi şekilde küçümsedim. Bu adamı tanımak istiyorum."
0,"Şu anda Comcast'tan nefret ediyorum. Her şey kesildi, kablo internet ve telefon. Ughh ne yapmalıyım!"
0,"Comcast berbat."
0,"Bir daha Comcast ile uğraşmamam günü, hayatımın en iyi günlerinden biri olarak kabul edilecek."
0,"Comcast yine mi başarısız oldu?"
2,"Twitter API'sını nasıl kullanırsınız?"
0,"Twitter API sınırını kınıyorum."
0,"Şimdi Dave Winer'ın Twitter API'nın eksikliklerini, sınırlarını ve erişim kısıtlamalarını neden bağırdığını görebiliyorum!"
2,"Twitter API'sini test ediyorum."
0,"Twitter API beni deli ediyor."
4,"Yeni arama sitesi Wolfram/Alpha'yı gerçekten seviyorum. Google'ı çok eski görünümlü yapar."
4,"Yeni Nike Muppet reklamları oldukça sevimli."
2,"Yeni blog yazısı: Nike Zoom LeBron Soldier 3 - Beyaz/Siyah-Teal"
2,"Yeni blog yazısı Nike Trainer 1 yayımlandı"
0,"Ah, onlar harika! Keşke Nike'a ait olmasalar"
4,"HARİKA!!! Cuma günü Shoreline Amphitheatre'da gösteriyi izleyeceğim. Daha önce NIN hiç izlemedim. Bekleyemiyorum."
0,"Ah, Bu Weka hatası.bBunu bulmak için neredeyse iki saat harcadım. Berbat ben!"
4,"Hey dostum, sorun değil. 50D'yi gerçekten seviyorum, ancak 5D mkII'yi daha çok sevdim."
2,"Ofise bir 50D aldık."
4,"Yeni Canon 50D'yi aldım. Çok güzel!! Çok ciddi fotoğraflar için hazırlanın!"
4,"Yeni oyuncak aldım. Canon 50D. Çok seviyorum!"
2,"Lambda hesabı hakkında bir şeyler öğreniyorum."
2,"Hasta çocuğa bakım konusunda yardım edin.(East Palo Alto, CA)"
4,"East Palo Alto'ya taşınıyorum. Müthiş!"
4,"Stanford iPhone Class oturumunuzu izledim. Gerçekten takdir ediyorum. Harikasın!"
4,"Merhaba! Stanford konuşmanızı izledim ve tavsiyelerinizi gerçekten beğendim. Singapur'dan selamlar! (evet, videolar dolaşıyor)"
2,"MBA Giriş İpuçları Stanford GSB Son Başvuru Tarihleri ve Kompozisyon Konuları 2009-2010 için linke tıklayınız."
2,"Etik ve kar amacı gütmeyen kuruluşlar bu linkte."
4,"BUGÜN LAKERS gecesi hadi gidelim!"
4,"Lakers bu gece Nuggets'ın kafasını patlatacak mı?"
2,"Mutsuzluğun toplumsal ve bireysel sebepleri, karmaşık bir etkileşim içinde olduğundan, tek bir çözüm yolu bulmak mümkün olmayabilir."
2,"Sosyal düzende yapılabilecek değişiklikler, hem olumlu hem de olumsuz sonuçlar doğurabilir ve bu değişimlerin etkileri zamanla ortaya çıkar."
4,"Yaşamın, deneyimlerimizle şekillendiğini ve zamanla değişebileceğini gösteren bir örnek olarak kendi yaşam hikayemi paylaşabilirim."
4,"Çocukluk dönemimde yaşadığım duygusal iniş çıkışlar, sonraki yıllarda yaşamdan daha fazla keyif almamı sağladı."
4,"Zaman içinde yaşamayı öğrenmek ve hayattan zevk almak, kişisel gelişimim ve olgunluğum için önemli bir aşamadır."
0,"Ergenlik dönemimde yaşadığım zorluklar ve içsel çatışmalar, yaşamı zorlayıcı ve anlamsız bulmama neden oldu."
0,"Çocukluk yıllarımda yaşadığım karamsarlık ve içsel sıkıntılar, hayatın değerini anlamamı zorlaştırdı."
2,"Yaşamda zamanla değişen duygusal durumlar, insanın içsel gelişimini ve algısını etkiler."
2,"Yaşamın karmaşıklığı ve içsel dönüşümler, bireylerin yaşamı nasıl algıladığını ve değerlendirdiğini etkiler."
2,"Adora Yağmur'un kitap yorumları ve önerileriyle tanındığı belirtilmiş."
0,"Dil biraz sade ve sönük kalmış."
0,"Betimlemeler sadece varislerin kıyafetleriyle sınırlı kalmış ve mantık hataları var."
0,"Karakter analizi ve yansıtması biraz havada kalmış."
4,"Kitabın kurgusu çok güzel ve merak ögesi canlı tutulmuş."
4,"Ortalama bir kitap alıp okunabilir."
4,"Yazarın (Adora Yağmur) ilk kitabı olduğu düşünülürse, iyi bir başlangıç ve emeklerine saygı gösterilmiş."
4,"Kitap, kolaylıkla ve akıcı bir şekilde bitirilebilir."
0,"Yağmur'un kitaplarındaki karakterlerin düz ve derinlikten yoksun olduğu eleştiriliyor."
0,"Karakterlerin sadece adları ve birkaç rolü var, ancak derinlikleri yok."
2,"Kitaplarında karakter yaratımının çok temel ve basit olduğu düşünülüyor."
0,"Özellikle kurgu odaklı değil de karakterler arasındaki dinamiklere odaklı olan romantik bir kitapta böyle içi boş kişilikler olması kitabı bitirmiş."
0,"Zaten İklim hakkkında konuşmak bile istemiyorum." 
0,"Tek vasfı baskıcı bir anne ile büyümek, buz pateni yapmak, atarlı giderli biri olmak. Bu kadar." 
0,"Irithel zaten aşırı zorlama biri." 
0,"Yazarın "zayıf" bir kız karakter yazmak istemediğinden tüm kaba rolleri bol keseden dağıttığı zaten apaçık." 
2,"Merak ediyorum da kibar ve iyi huylu biri güçlü kadın karakter neden olamıyor?"
4,"Kendisini tebrik ettiğim nokta sürükleyicilikte gerçekten iyi olması.".
0,"Genel anlamda yazım dili aşırı basit, sıradan bir olay örgüsü ve kendilerinin bile karakter olduğundan haberdar olmayan kişiliklerle dolu, taş çatlasa en fazla 12 yaşa hitap eden bir kitaptı."
4,"İman hakikatinin hayattaki oluşturabilecek en hafif kötü bir nazarın nasıl def edip nasıl bir yol çizmemizin gerektiğini biz gençlerin rehberi olacak en kıymetli eserlerden biri olmak üzere ve en güzel bir şekil de kalbe nakşeden nasihatler ile huzuru bulmamıza yardımcı oluyor."
4,"Hayatımda ki kararlarımı ve nasıl bir yol çizmem gerektiğini çok açık bir terimle anlatan bir eser."
4,"Risale-i Nur'la olan iştigalimiz, iş ve derslerimizdeki muvaffakıyeti kat kat artırarak bize kuvvet ve heves veriyor."
2,"Bizde, dünyaya din için çalışmak fikrini uyandırıyor."
2,"Bize vaktin kıymetini idrak ettiriyor; takvim yapraklarının geri dönmeyeceğini kalb ve aklımıza tesirli bir surette ihtar ederek, ömür sermayesi olan zamanımızı kıymetlendirmek şevk ve azmini veriyor."
4,"Çalışma saatlerinde şurada burada boşu boşuna veya lüzumlu zannına kapıldığımız ve fakat bizce faidesiz şeylerle vakitlerimizi öldürmekten bizi kurtarıyor."
4,Hattâ istirahat zamanlarında dahi iman hakikatlarına çalışma sevgisini husule getirerek, rahmet-i İlahînin hareket içine dercettiği faaliyet zevkini tattırıyor; böylece fâni bir ömürde bâki bir hayatı kazanmanın yolunda yürütüyor."
4,"Onun kıymeti onu daimî ve sadakatla okuyanların ruhunu o kadar sarıyor, o kadar kendine râm ve meftun ediyor ki; tahkikî iman mertebelerinde terakki eden o fedakârlardan birinin başına bütün din düşmanları toplanıp Risale-i Nur'dan vazgeçirmeye çalışsalar yine muvaffak olamazlar ve olamadılar."
0,"Bu kalbî ve samimî bağlılığı çok görenler olabilir; fakat hiç de fazla bulmamalıdırlar."
2,"Kitapta özellikle ahirete imana dair sorulara kuvvetli cevaplar veriliyor."
4,"Onun dışında çokça farklı kelime kullanılarak yazılmış bir eser , bağlaçlar hariç bi kelimeye kitap boyunca bir daha rast gelmeniz zor o derece zengin bir kelime kullanımı da mevcut."
0,"Gençlik bir bahar gibidir. Mevsimi geçince geriye dönüş olmuyor."
2,"İmansız bir gençlik yetişiyorsa dünyevi, uhrevi saadetin salâ sesini işitiyoruz demektir."
2,"Bu kitapta da Bediüzaman Said Nursi (ra); gençleri asrın çekici günahlarından sakındırmak için, haram olan her lezzetin netice vereceği kabir ve cehennem azabının yanı sıra, bu lezzetlerin hemen sonrasında beraberinde getirdiği bu dünyadaki manevi acıları ve rızay-ı ilahi dairesinde olan gençlerin de dünyevî uhrevi kazançlarından bahsetmektedir."
2,"Her gencin alıp ara ara okuması gereken bir kitap." 
2,"Malumunuz ki insan, nisyandan türemiştir." 
0,"İnsan ne yazık ki unutmaya meyilli bir varlıktır."
4,"Hayatı anlamlandırmak ve dünyaya niye geldim ve hayatıma nasıl çekidüzen verip, nasıl ömür sermayemi en uygun ve akıllıca kullanabilirim, diye düşünen herkes ve özellikle gençler için bulunmaz nimet."
2,"Yaz güze ve kışa yer vermesi; gündüz akşama ve geceye değişmesi kat'iyetinde, gençlik dahi ihtiyarlığa ve ölüme değişecek."
2,"Bu kitap isminden de anlaşılacağı üzere gençlik döneminin hususî sorularına cevap verecek şekilde hazırlanmış."
2," Daha sonra Üstad dünyanın hakikî saadetini gösteriyor bizlere. “Neden gençliğimizi meşru dairede geçirmeliyiz?” konulu bir ders,  ardından Eee malumunuz, yaşadığımız coğrafyada o zamandan bu zamana savaşlar, maddî-manevî darbeler, felaketler, olaylar bitmiyor."
4,"Müthiş anlatımı, örnekleri ve doğru olduğunu bildiğiniz sözleri ile ister istemez daha iyi bir kul oluyorsunuz."
0,"Açıkçası biraz hayal kırıklığı oldu çünkü bir Derda, bir Kinyas ya da bir Asil’i görmek istemiştim."
0,"Üzülerek söylüyorum ki bir kaç güzel bölümler ve vurucu cümleler vardı ama benim beklentim yine yazarım başarılı yazar olmasından dolayı yüksekti."
2,"Başarılı insanların başarılarının daha da üstüne çıkması gerekiyor demek ki."
0,"Daha önce okuduğum kitapları için düşündüklerimi bu kitap için söyleyemeyeceğim maalesef." 
4,"Fakat Hakan Günday ile tanışmanızı tavsiye ederim."
4,"Okuru durup düşünmeye iten, bir an nefesini kesen öyküler benim için harikaydı."
4,"Hakan Günday’ın çeşitli mecralarda yayınlanmış öykülerinden derleme bu kitap bana Hakan Günday’a neden hayran olduğumu bir kere daha hatırlattı."
2,"İnsan dediğin, doğum tarihiyle ölüm tarihi arasındaki tire kadar."
2,"Hakan Günday okumaya Kinyas Ve Kayra kitabıyla başlamıştım." 
4,"Yazarın tarzını o kadar sevdim ki diğer bütün kitaplarını da okudum." 
2,"Zamir’i almak için kitapçıya gittim, tesadüfen bu kitabın da yeni çıktığını öğrendim." 
2,"İki kitabı birlikte aldım." 
4,"Zaten Hakan Günday okumayalı uzun bir zaman olmuştu, kendimi ödüllendirmek amaçlı ikisini art arda okuyayım dedim."
2,"Bu kitapta yazarın çoğunlukla OT dergisinde yayımlanan öykülerine yer verilmiş." 
4,"Hepsi birbirinden güzel, özellikle Bir “Kinyas Ve Kayra Öyküsü”ne gelince çok duygulandım." 
4,"Bir çok sayfasını ezbere bildiğim ve kitaplığımın baş köşesine koyduğum kitaptan bir parça esintiler görünce çok hoşuma gitti." 
4,"Okuması çok zevkli, herkese tavsiye ederim."
0,"Hakan Günday'ı takip eden birisi olarak, daha önce yazdıklarını, tekrar bir araya getirip bir kitap halinde piyasaya sürmesini doğru bulmadığımı çünkü bu yapılanın, onu seven, takip eden bizlerde  kendisine dair bıraktığı dünya  görüşü izlenimine uymadığını üzülerek yazmak isterim."
2,"Toplumsal olaylara can acıtarak değiniyor."
0,"Derleme bir eser, beklentinizi bu yönde tutarsanız, okurken bazı anlardan keyif alınabilir ama malum kitap fiyatlarının artışından dolayı, bu esere bu kadar yüksek meblağ vermek, kalp kırıklığı yaratıyor."
0,"Hakan Günday'ın tüm romanlarını okudum, severim de ama öykülerini okurken -daha doğrusu dinlerken- aynı keyfi alamadım."
0,"Beklediğim gibi öyküler çok iyi değildi, içerisinde hoşuma gidenler vardı fakat genel olarak vasatın üstü bir öykü kitabı diyebilirim."
2,"Her biri birer yalıtım malzemesine dönüşmüş olan insanlar, aynı ülkede ancak farklı gezegenlerdeymiş gibi ya da aynı gezegende ancak farklı galaksidelerdeymiş gibi yaşamaya devam edecektir."
0,"Biraz bu yer altı edebiyatı kasvetinden sıkılmaya başladım sanki."
4,"Kitabın içinde birbirinden farklı bir sürü hikaye var bu hikayelerin bazıları gerçekten akılda kalıcı ve güzeldi ama bazı hikayelerde gerçekten neden var ki dedirtti kitabın satışındak en büyük pay olan kşnyas ve kayra yı içeren bölüm içinse beklentimi karşıladı ve aylar sonra tekrar o karakterle bir arada olmak güzeldi kinyasın iç dünyasını daha derinlemesine görmüş olduk güzel tadımlık bir kitap diyebilirim."
4,"Çok tarzım olmasa da okudum ve %80 beğendim." 
4,"Çok çarpıcı öyküler hatta aforizmalar var, kesinlikle tavsiye ediyorum."
4,"Gözlerin çakmak çakmak, güneş mi çarptı seni?"
0,"Fıstığım benim, nerelerde kaldın?"
0,"Hâlâ uyuyor, uyandırsak mı acaba artık, akşama uykusu gelmeyecek…"
2,"Artık sen bir hiçsin benim için!"
0,"Göğüslerim acıyor, bir doktora gitsem iyi olacak."
0,"Yarın dönmem lazım, bilet bulabilecek miyim acaba?"
2,"Nasıl gidiyoruz, soldan mı?"
2,"Eskiden öyleydim, sonra yaşam değiştirdi her şeyi."
0,"Sen de korktun, değil mi?"
2,"Lafın gelişi dedim öyle, takma o kadar."
0,"Söylediği son sözler kalbimi paramparça etti."
0,"Günlerdir ağlamaktan gözünde yaş kalmadı."
0,"Ne zaman Yahya Kemal Beyatlı'nın bu şiirini okusam hüzünlenirim."
0,"Onu öyle görünce ağlayacak gibi oldum."
0,"Annemden kısa süreliğine de olsa ayrılmak beni hep kederlendirir."
4,"Selma'dan gelen mektup keyfimi yerine getirdi."
4,"Onu yarım saat de olsa görmek beni mutlu etti."
4,"Yaşasın! Yaz tatiline sadece iki hafta kaldı."
2,"Çektiği kısa film ödül aldığı için etekleri zil çalıyor."
0,"Son zamanlarda yaşadığım yoğun iş temposu ve sürekli baskı altında olma hissi, içimde bir tükenmişlik ve sıkılmışlık duygusu oluşturuyor."
0,"Hayal kırıklıklarıyla dolu bir dönem geçiriyorum ve bu durum içimde bir hüzün ve umutsuzluk hissiyatı yaratıyor."
0,"Geleceğe dair belirsizliklerle başa çıkmaya çalışmak, içimde bir endişe ve stres birikimi oluşturuyor."
0,"Sosyal ilişkilerde yaşadığım karmaşık durumlar, içimde bir yalnızlık ve anlam arayışı hissi uyandırıyor."
0,"Yaşadığım sağlık sorunları ve bunun getirdiği kısıtlamalar, içimde bir öfke ve hayal kırıklığı duygusu yaratıyor."
0,"İçsel şüpheler ve kendime güven eksikliği, içimde bir huzursuzluk ve eksiklik hissiyatı oluşturuyor."
0,"Çevremdeki olumsuz etkiler ve negatif enerjiler, içimde bir bunalım ve kaçış isteği uyandırıyor."
0,"Geçmişteki hatalarımdan ders alamamanın verdiği bir pişmanlık ve moral bozukluğu hissediyorum."
0,"Finansal sorunlar ve maddi zorluklarla başa çıkma çabası, içimde bir kaygı ve sıkıntı duygusu oluşturuyor."
0,"Duygusal karmaşa ve ilişki problemleri, içimde bir huzursuzluk ve mutsuzluk hissiyatı yaratıyor."
0,"Sözümü tutmayıp onu yarı yolda bıraktığım için çok pişmanım."
0,"Aslı'ya o sözleri sarf ettiğim için kendimi asla affetmeyeceğim."
0,"Keşke yazdığım şiiri ona okusaydım."
2,"Hazal ile Ali'nin anlaşabileceklerini düşünmüyorum."
2,"Eskiden her gün arar, halimizi hatırımızı sorardı."
0,"Sınavdan kötü not aldığımı görünce moralim bozuldu."
0,"O güzelim kadın, birkaç yılda çöküp yaşlandı."
0,"Zavallı adam, çocuklarını yetiştirebilmek için ne acılar çekti."
2,"Şairin en son kitabı 200 sayfadan oluşuyor."
2,"Eser, dört bölüm halinde sinemaya uyarlanmış."
2,"İstanbul 1453′te fethedildi."
2,"Yazar, bu romanında aile bireyleri arasındaki sorunları anlatıyor."
4,"Dilediğiniz gibi gönül ferahlığıyla alışveriş yapabilirsiniz tam bedeninizi almanız yeterlidir, ürünün kalitesi fiyatına göre gayet başarılı, hızlı kargoyla söylenilem gününde ulaştı ilk siprişimizdi son olamayacaktır, teşekkürler!"
4,"Hızlı bir teslimat oldu özenle katlanıp temiz paketlenip gönderilmiş, şimdiye kadar sipariş olarak memnun kaldığım tek sipariş oldu emeğinize sağlık teşekkür ederim."
4,"Çok güzel, ince, yazın tam giymelik baskısıda güzel!"
4,""Özellikle yeşilin rengini çok beğenmiştim ve tam olarak göründüğü gibi geldi."
0,"Tam bir hayal kırıklığı s beden sipariş verdim gelen ürün kocaman asla s olamaz ayrıca beden etiketi de yoktu."
2,"Ürün eksik geldi tedarik edilmesini istiyorum."
2,"Xs istemiştim m göndermişler."
0,"Sakın almayın arkadaşlar kumaşı çok kötü."
0,"Ürün aşırı iç gösteriyor kumaşı da çok kalitesiz, hiç beğenmedim."
0,"Fiyatından ötürü çok kaliteli bir tişört beklemiyordum tabii ki ama bu kadar kalitesiz de olacağını düşünmedim transparan gibi resmen."
4,"Bugün harika bir gün geçirdim, her şey mükemmeldi."
4,"Yeni aldığım kitabı çok seviyorum, okurken çok keyif alıyorum."
4,"İşimde başarılı bir sonuç elde ettim, çok mutlu oldum."
4,"Arkadaşlarımla harika bir zaman geçirdim, gülmekten karnım ağrıdı."
4,"Doğada yürüyüş yapmak beni çok dinlendiriyor, huzurlu hissediyorum."
4,"Sevdiklerimle birlikte olmak en büyük mutluluğum, onların varlığıyla gurur duyuyorum."
4,"Bugün çok verimli bir gün geçirdim, tüm işlerimi tamamladım."
4,"Yeni tanıştığım insanlarla harika bir iletişim kurabiliyorum, onlarla sohbet etmek keyif verici."
4,"Hayal ettiğim hedeflere ulaşmak beni motive ediyor, başarıya giden yolda ilerliyorum."
4,"Yağmurlu bir günün ardından gökyüzünde gördüğüm güneş beni mutlu ediyor, doğanın güzelliklerine hayranım."
4,"Bu yıl tatilimiz çok keyifli geçti, harika yerler gördük."
4,"Yeni aldığım kitabı çok sevdim, okurken çok keyif aldım."
0,"Yağmurlu bir günde kaybolmuş hissetmek, içimde huzursuzluk ve melankoliye sebep oldu."
0,"Son zamanlarda işlerimin düzensizliği ve stresi, içimde bir huzursuzluk ve endişe duygusu yaratmaya başladı."
0,"Yorgunluktan dolayı uyku düzenimin bozulması, içimde bir halsizlik ve tükenmişlik hissiyatı oluşturdu."
0,"İş yerinde yaşadığım yoğun rekabet ve baskı, içimde bir gerginlik ve stres birikimi oluşturdu."
0,"Çevremdeki olumsuz enerjiler ve çatışmalar, içimde bir mutsuzluk ve huzursuzluk duygusu uyandırdı."
0,"Geçmişte yaptığım hataların sonuçlarıyla yüzleşmek, içimde bir pişmanlık ve üzüntü hissetmeme neden oldu."
0,"Beklenmedik sağlık sorunlarıyla karşılaşmak, içimde bir korku ve endişe duygusu yaratmaya başladı."
0,"Mali zorluklarla başa çıkmak, içimde bir sıkıntı ve belirsizlik hissi uyandırdı."
0,"Yakın zamanda yaşadığım kayıplar ve ayrılıklar, içimde bir boşluk ve üzüntü duygusu oluşturdu."
0,"Kişisel hedeflerime ulaşmada yaşadığım zorluklar, içimde bir umutsuzluk ve motivasyon kaybı hissettirdi."
4,"Yemek tarifini denedim ve gerçekten lezzetli oldu, çok beğendik."
4,"Yeni tanıştığım insanlarla harika bir sohbetimiz oldu, çok keyifliydi."
4,"Doğum günümde çok güzel bir sürprizle karşılaştım, çok mutlu oldum."
4,"Bugün işte çok verimli bir gün geçirdim, çok iş başardım."
4,"Geçen hafta izlediğim film gerçekten harikaydı, çok etkileyiciydi."
4,"Yeni hobimle ilgilenmek beni çok mutlu ediyor, çok keyif alıyorum."
2,"Bugün hava oldukça güzel, dışarı çıkmak için güzel bir gün gibi görünüyor."
2,"Yeni başlayan projemde ilerlemeler kaydetmeye başladım, işler yolunda gibi görünüyor."
2,"Akşam yemeğinde favori yemeğimi yapacağım, bu da güzel bir değişiklik olacak."
2,"Hafta sonu için planlar yapmayı düşünüyorum, belki bir film izlerim ya da kitap okurum."
2,"Yakın zamanda tanıştığım insanlarla sohbet etmek keyifli oluyor, yeni arkadaşlıklar kurmak güzel bir deneyim."
2,"Evdeki ufak tadilat işleriyle uğraşıyorum, zaman zaman sıkıcı olsa da sonuçlarını görmek motive edici."
2,"Hobilerim arasına yeni bir şey eklemeyi düşünüyorum, bir spor ya da sanat aktivitesi denemek istiyorum."
2,"Çalışma ortamımda değişiklikler yapıldı, bazı alışkanlıklarımı yeniden düzenlemem gerekebilir."
2,"Yakın zamanda izlediğim bir film hoşuma gitti, senaryo ve oyunculuklar başarılıydı."
2,"İşyerinde rutin işlerimi hallederken, yeni projeler üzerinde çalışmaya da başladım, iş yüküm dengeli gibi görünüyor."
4,"Sevdiklerimle bir araya gelmek her zaman harika bir duygu, çok değerli anlar yaşıyorum."
0,"Hava koşulları kötü olduğu için hafta sonu planlarımızı iptal etmek zorunda kaldık, bu durum beni oldukça üzdü."
0,"Son zamanlarda yaşadığımız ekonomik sıkıntılar, aile içinde gerilime neden oldu ve moralimizi oldukça bozdu."
0,"İş yerindeki sürekli stres ve baskı, çalışma motivasyonumu düşürdü ve kendimi yorgun hissettirdi."
0,"Yakın çevremizde yaşanan olumsuz olaylar, genel atmosferi negatif etkiledi ve insanların ruh halini olumsuz yönde etkiledi."
0,"Yakın bir arkadaşımızın ani kaybı, içimizde büyük bir üzüntü ve boşluk hissi yarattı."
0,"Beklenmedik sağlık sorunlarıyla karşılaşmak, hem fiziksel hem de duygusal olarak zorlayıcı bir süreç yaşamama neden oldu."
0,"Gelecek planlarımızı belirsizlikler ve belirsizliklerle dolu olması, endişe ve huzursuzluk hissetmemize neden oldu."
0,"Çalışma ortamındaki olumsuz insan ilişkileri ve iletişim sorunları, iş verimini düşürdü ve moralimizi bozdu."
0,"Kişisel hedeflerime ulaşmak için yaşadığım engeller ve karşılaştığım zorluklar, motivasyonumu olumsuz etkiledi."
0,"Sürekli artan iş yoğunluğu ve yetişmesi gereken işlerin sayısı, zaman yönetimimde zorluklar yaşamama sebep oldu ve strese soktu."
4,"Konserde çalınan müzik beni adeta büyüledi, çok etkileyiciydi."
4,"İş yerinde aldığım takdirler beni çok mutlu ediyor."
4,"Sahilde gün batımını izlemek bana huzur veriyor, gerçekten harika bir deneyim."
4,"Bu sabah erkenden kalkıp doğanın sesini dinlemek, günü harika bir başlangıçla karşılamama yardımcı oldu."
4,"Geçtiğimiz hafta sonu ailemle birlikte geçirdiğimiz piknikte doğanın güzelliklerini keşfetmek, beni içsel bir huzura kavuşturdu."
4,"Yeni aldığımız ev bitmiş ve yerleşmiş durumda, her köşesiyle bize huzur veren bir yaşam alanına sahip olmak gerçekten harika."
4,"En sevdiğim yazarın yeni kitabını okumak, beni farklı bir dünyaya götürdü ve hayal gücümü genişletti."
4,"İş yerinde tamamladığımız projede ekip olarak gösterdiğimiz başarı, motivasyonumuzu artırdı ve birlikte çalışmanın gücünü gösterdi."
4,"Yaptığımız son seyahat sırasında tanıştığımız insanlarla olan samimi sohbetler, farklı kültürleri anlama ve yeni dostluklar kurma fırsatı verdi."
4,"İlkbaharın gelmesiyle birlikte bahçemde açan çiçekleri görmek, doğanın canlılığı ve güzelliğiyle dolup taşmamı sağladı."
4,"Yoga yapmak ve meditasyon yaparak günün stresini atmak, ruhsal ve bedensel sağlığımı önemsememde bana büyük bir destek oldu."
4,"Yıllardır devam eden hobim olan resim yapmaya zaman ayırmak, yaratıcılığımı ortaya çıkarmak ve ruhuma iyi gelen bir aktivite."
4,"En sevdiğim şarkıcıyı konserinde canlı izlemek, müziğin büyüsüne kapılmak ve unutulmaz bir deneyim yaşamak."
0,"İçimde bir boşluk hissiyatıyla, geçmişteki hayal kırıklıklarımı düşündüm."
0,"Son zamanlarda yaşadığım karmaşa ve stres, içimde bir tükenmişlik ve umutsuzluk duygusu yarattı."
0,"Yaşamın rutinlik içinde kaybolması, içimde bir sıkılmışlık ve monotonluk hissi uyandırıyor."
0,"Çevremdeki olumsuzluklar ve enerji emici ilişkiler, içimde bir yorgunluk ve huzursuzluk duygusu oluşturuyor."
0,"Beklenmedik zorluklarla başa çıkmak, içimde bir çaresizlik ve endişe hissi uyandırıyor."
0,"Geleceğe dair belirsizliklerle dolu olmak, içimde bir belirsizlik ve kaygı duygusu oluşturuyor."
0,"İş yerinde yaşadığım rekabet ve baskı, içimde bir gerginlik ve stres birikimi yaratıyor."
0,"Başkalarının beklentileriyle mücadele etmek, içimde bir huzursuzluk ve baskı hissi yaratıyor."
